where	who	kind	form	gloss
§1	Hank Nater	citation	sma	publicly shared parable, involving animals or animated objects
§1	Hank Nater	citation	sʔalac’i	familially owned account, with human participants
§1	Hank Nater	citation	smsmayamk	to tell as a parable
§2	Hank Nater	symbol note	˽	Combining Inverted Bridge Below, following a proclitic and preceding an enclitic
§2	Hank Nater	symbol note	ʔaɬ˽	at
§2	Hank Nater	symbol note	ʔal˽	at
§2	Hank Nater	symbol note	x˽	via
§2	Hank Nater	symbol note	ʔuɬ˽	towards
§2	Hank Nater	symbol note	ʔul˽	towards
§2	Hank Nater	symbol note	ʔiɬ˽	INDEF.FEM.REM article
§2	Hank Nater	symbol note	ɬa˽	INDEF.FEM.REM article
§2	Hank Nater	symbol note	ta˽	INDEF.NON-FEM.REM article
§2	Hank Nater	symbol note	ti˽	INDEF.NON-FEM.PROX article
§2	Hank Nater	symbol note	ci˽‘INDEF.FEM.PROX’	INDEF.FEM.PROX article, printed with no space between the proclitic and its label
§2	Hank Nater	symbol note	PREP˽	the label the paper gives a preposition
§2	Hank Nater	symbol note	ART˽	the label the paper gives a proclitical article
§2	Hank Nater	symbol note	˽ART	the label the paper gives a deictic used as an enclitic article
§2	Hank Nater	symbol note	(˽)DEM	the label the paper gives a deictic used as a demonstrative
§2	Hank Nater	symbol note	˽CL	the label the paper gives an enclitic adverb
§2	Hank Nater	symbol note	˽c’/˽c’i…	now, printed as one entry with both forms
§2	Hank Nater	symbol note	tu˽	INDEF.REM.PL article
§2	Hank Nater	symbol note	wa˽	INDEF.PROX.PL article
§2	Hank Nater	symbol note	a˽	INDEF.PROX.PL article
§2	Hank Nater	symbol note	Ø˽	INDEF.PROX.PL article
§2	Hank Nater	symbol note	ʔac	DEM.PL.PROX
§2	Hank Nater	symbol note	ʔiɬ	DEF.FEM.REM
§2	Hank Nater	symbol note	ʔiɬaʔiɬ	DEM.FEM.REM
§2	Hank Nater	symbol note	tx	DEF.NON-FEM.PROX
§2	Hank Nater	symbol note	c	DEF.PROX.PL
§2	Hank Nater	symbol note	cx	DEF.FEM.PROX
§2	Hank Nater	symbol note	c’ayx	DEM.FEM.PROX
§2	Hank Nater	symbol note	tχ	DEF.NON-FEM.REM
§2	Hank Nater	symbol note	tχʷ	DEF.REM.PL
§2	Hank Nater	symbol note	t’aχ	DEM.NON-FEM.REM
§2	Hank Nater	symbol note	t’aχʷ	DEM.REM.PL
§2	Hank Nater	symbol note	t’ayx	DEM.NON-FEM.PROX
§2	Hank Nater	symbol note	˽alu	tentatively
§2	Hank Nater	symbol note	˽ʔi(t)…k	contrastive
§2	Hank Nater	symbol note	˽kʷu	somehow
§2	Hank Nater	symbol note	˽kʷ	quotative
§2	Hank Nater	symbol note	˽k’ʷ(u)	frequently
§2	Hank Nater	symbol note	˽lu	still
§2	Hank Nater	symbol note	˽ma	possibly
§2	Hank Nater	symbol note	˽su	alternately
§2	Hank Nater	symbol note	˽ck	allegedly
§2	Hank Nater	symbol note	˽c’	now
§2	Hank Nater	symbol note	˽c’i…	now
§2	Hank Nater	symbol note	˽tu	really
§2	Hank Nater	symbol note	˽tuu	exactly
