where	who	kind	form	gloss
title	Mary George	title	Mary George Personal Narratives	the paper's title
abstract	John Hamilton Davis	language	Mainland Comox	the language of the narratives
§1	John Hamilton Davis	name	Sliammon	the village where the work was done
§1	John Hamilton Davis	name	Bill Galligos	the consultant Thom Hess worked with in 1965
2 1	Mary George	transcription	hihiw ch lhaxaxswh tez nesh
2 1	John Hamilton Davis	phonetic	[hεhεʊ č ɬaχaχsçw tətθ niš]
2 1	Mary George	translation	‘I’m really starting to dislike being here.’
2 2	Mary George	transcription	hanem qex tl’axtl’axaymot
2 2	John Hamilton Davis	phonetic	[hanəm qʌ́χ ƛ̀aχƛ̀aχaɪmot]
2 2	Mary George	translation	‘Too many really old people.’
2 3	Mary George	transcription	ʔey haw.higan qwel’ ʔolhtumithayem
2 3	John Hamilton Davis	phonetic	[ʔiɪ haʊhεgᴧn qwɔlʔ ʔoɬtumεθᴧyɪm]
2 3	Mary George	translation	‘And a demented one came in toward me.’
2 4	Mary George	transcription	she pipaʔa tl’atl’xay tumesh
2 4	John Hamilton Davis	phonetic	[šɪ pεpaʔa ƛ̀aƛ̀χaɪ tumiš]
2 4	Mary George	translation	‘One little old man.’
2 5	Mary George	transcription	jiaqaʔ k’wiʔesh eyt ʔe tez shiaʔtigans t’olhalh
2 5	John Hamilton Davis	phonetic	[ǰyæqᴧʔ k̀wεʔɪš iɪt ʔə tətθ šyεʔtεgᴧns t̀oɬᴧɬ]
2 5	Mary George	translation	‘He stood over my bed.’
2 6	Mary George	transcription	chia’nawh ch’ia qwel’
2 6	John Hamilton Davis	phonetic	[čyεεnᴧçw č̀yε qwɔlʔ]
2 6	Mary George	translation	‘He came three times.’
2 7	Mary George	transcription	hoy ʔey q’agem chian ʔe tintin.s te kwekwtemawtwh
2 7	John Hamilton Davis	phonetic	[hoɪ ʔiɪ q̀agəm čyεn ʔə tintins tə kwʊkwtəmᴧʊtçw]
2 7	Mary George	translation	‘So I rang the hospital bell.’
2 8	Mary George	transcription	qwel’ jiaʔatl’ she nurses
2 8	John Hamilton Davis	phonetic	[qwɔlʔ ǰyaʔaƛ̀ šɪ nurses]
2 8	Mary George	translation	‘Several nurses came running.’
2 9	Mary George	transcription	maʔtem ku she tumesh
2 9	John Hamilton Davis	phonetic	[maatəm kwu šɪ tumiš]
2 9	Mary George	translation	‘They took the man.’
2 10	Mary George	transcription	hostom ku ʔe naʔs room
2 10	John Hamilton Davis	phonetic	[hostom kwu ʔə naʔs room]
2 10	Mary George	translation	‘They took him to his own room.’
2 11	Mary George	transcription	hi ga z hihiw lhaxaxswh tez nesh
2 11	John Hamilton Davis	phonetic	[hε gᴧ tθ hεhεʊ ɬaχaχsçw tətθ niš]
2 11	Mary George	translation	‘That’s why I’m starting to dislike being here.’
2 12	Mary George	transcription	hiw ch jiajew’am
2 12	John Hamilton Davis	phonetic	[hεʊ č ǰyεǰuʊʔam]
2 12	Mary George	translation	‘I really want to go home.’
note 1	John Hamilton Davis	cited affix	-V1C2	inceptive
note 1	John Hamilton Davis	cited form	ɬəχ	bad
note 1	John Hamilton Davis	cited form	ɬəχsçw	dislike
note 1	John Hamilton Davis	cited form	ɬaχ	ə becomes a for emphasis
note 2	John Hamilton Davis	cited affix	C1aC2-	plural
note 3	John Hamilton Davis	cited form	ʔolhtwh	enter
note 3	John Hamilton Davis	cited form	ʔolhtu-	enter
note 3	John Hamilton Davis	cited affix	-mi-	toward
note 3	John Hamilton Davis	cited affix	-thay-	me
note 3	John Hamilton Davis	cited form	qwel’	come
note 4	John Hamilton Davis	cited affix	C1V1-	diminutive
note 4	John Hamilton Davis	cited form	tl’axay	elderly
note 4	John Hamilton Davis	cited form	pipaʔa	one human being
note 5	John Hamilton Davis	cited form	jiaqaʔ	unexpectedly
note 5	John Hamilton Davis	cited form	heyt	probably this, possibly ʔeyt
note 5	John Hamilton Davis	cited form	ʔeyt	the other possible reading of line 5
note 6	John Hamilton Davis	cited form	ch’ia	apparently
note 7	John Hamilton Davis	cited form	jiaʔatl’	several people run
note 7	John Hamilton Davis	cited form	she	ART
note 8	John Hamilton Davis	cited form	ku	past change or action, not recent
note 9	John Hamilton Davis	cited form	naʔs	one’s own
note 10	John Hamilton Davis	cited form	te	ART
note 10	John Hamilton Davis	cited form	z	my; I
note 10	John Hamilton Davis	cited form	nesh	here
note 11	John Hamilton Davis	cited affix	-am	desiderative
note 11	John Hamilton Davis	cited affix	C1V1-	imperfective
note 11	John Hamilton Davis	cited form	jew’	go home
note 11	John Hamilton Davis	cited form	ch	I
note 11	John Hamilton Davis	cited form	chian	I
3 1	Mary George	transcription	thoholh ʔe kw wachawtwh
3 1	John Hamilton Davis	phonetic	[θohoɬ ʔə kw wʌčʌʊtçw]
3 1	Mary George	translation	‘(Christine Harry) went to the toilet.’
3 2	Mary George	transcription	ʔey ch’ia niʔ jiaq’
3 2	John Hamilton Davis	phonetic	[ʔiɪ č̀yε nεʔ ǰyεq̀]
3 2	Mary George	translation	‘And she must have fallen down there.’
3 3	Mary George	transcription	xaxeyastîwh sht s whekwts
3 3	John Hamilton Davis	phonetic	[χaχiyεstεçw št s çwʊkwts]
3 3	Mary George	translation	‘We were wondering that (why) she was gone.’
3 4	Mary George	transcription	hotigan sht ga kwenas ho jew’
3 4	John Hamilton Davis	phonetic	[hotεgʌn št gʌ kwɪnʌs ho juʊʔ]
3 4	Mary George	translation	‘We thought she might have gone home.’
3 5	Mary George	transcription	ho ga lhe pipaʔa salhtwh ʔe kw wachawtwh
3 5	John Hamilton Davis	phonetic	[ho gʌ ɬə pεpaʔa saɬtçw ʔə kw wʌčʌʊtçw]
3 5	Mary George	translation	‘Another woman went to the toilet.’
3 6	Mary George	transcription	k’wenewhas Chestina jiaqaʔ kw niʔ jiaq’ît
3 6	John Hamilton Davis	phonetic	[k̀wʊnʊçwʌs čɪstinʌ ǰyεqʌʔ kw nεʔ ǰyæq’εt]
3 6	Mary George	translation	‘She saw Christine there fallen down.’
3 7	Mary George	transcription	maʔtem hostom ʔe she ʔaxîthawtwhs takta
3 7	John Hamilton Davis	phonetic	[maatəm hostom ʔə šɪ ʔaχεθʌʊtçws taktʌ]
3 7	Mary George	translation	‘They took her to the doctor’s resting room.’
3 8	Mary George	transcription	whe k’we texwnomota’solh
3 8	John Hamilton Davis	phonetic	[çwʊ k̀wə tɔχwnomotaasoɬ]
3 8	Mary George	translation	‘She wasn’t conscious.’
3 9	Mary George	transcription	xoxwmot ʔey qwel’ pechem
3 9	John Hamilton Davis	phonetic	[χwoχwmot ʔiɪ qwəlʔ pɪčɪm]
3 9	Mary George	translation	‘A long time and she came awake.’
3 10	Mary George	transcription	niʔolh ʔot lhaq’atem ʔe she takta hi ga she nurse
3 10	John Hamilton Davis	phonetic	[nεʔoɬ ʔot ɬaq̀atəm ʔə šɪ taktʌ hε gʌ šɪ nurse]
3 10	Mary George	translation	‘There waiting for her were the doctor as well as the nurse.’
3 11	Mary George	transcription	qwel’ ga maʔta’molh ʔe she naʔs kwekwtem ʔatnopil
3 11	John Hamilton Davis	phonetic	[qwɔlʔ gʌ maʔtaamoɬ ʔə šɪ naʔs kwʊkwtəm ʔatnopεl]
3 11	Mary George	translation	‘An ambulance came and took her.’ (“the belonging to being sick automobile”)
3 12	Mary George	transcription	hostom ga ʔe kw kwekwtemawtwh
3 12	John Hamilton Davis	phonetic	[hostom gʌ ʔə kw kwʊkwtəmʌʊtçw]
3 12	Mary George	translation	‘They took her to the hospital.’
3 13	Mary George	transcription	ʔey’ k’we g.ut s.nanatolh ~ ʔey’ k’we ot snanatolh
3 13	John Hamilton Davis	phonetic	[ʔiɪʔ k̀wə gut snanatoɬ] ~ [ʔiɪʔ k̀wə ot snanatoɬ]
3 13	Mary George	translation	‘She was better yesterday evening.’
3 14	Mary George	transcription	ho k’we k’weta’molh ʔe lhew Elsie
3 14	John Hamilton Davis	phonetic	[ho k̀wə k̀wʊtaamoɬ ʔə ɬuʊ Elsie]
3 14	Mary George	translation	‘Elsie (Paul and friends) went to see her.’
3 15	Mary George	transcription	hihiw sht haj.igan.mot
3 15	John Hamilton Davis	phonetic	[hεhεʊ št haǰεgʌnmot]
3 15	Mary George	translation	‘We were so worried!’
3 16	Mary George	transcription	qelhas chiam’ kw ȳathot.s
3 16	John Hamilton Davis	phonetic	[qʌ́ɬʌs čyεmʔ kw íεθots]
3 16	Mary George	translation	‘What might happen to her?’
3 17	Mary George	transcription	qwayigan tuw.ayin ot lhexayin.eyt.olh
3 17	John Hamilton Davis	phonetic	[qwayεgʌn tuwayɪn ot ɬʌ́χayɪniɪtoɬ]
3 17	Mary George	translation	‘I think she was already feeling sick.’
3 18	Mary George	transcription	hilh ȳathot.ow.s chestina sjiasolh
3 18	John Hamilton Davis	phonetic	[hεɬ íaθotoʊs čɪstinʌ sǰyεsoɬ]
3 18	Mary George	translation	‘That’s what Christine did yesterday.’
note 12	John Hamilton Davis	cited form	kw	ART
note 13	John Hamilton Davis	cited form	ch’ia	apparently
note 14	John Hamilton Davis	cited form	xaxaya.swh	find it strange
note 14	John Hamilton Davis	cited form	xaxaya.stîwh	finding it strange
note 14	John Hamilton Davis	cited form	s	that
note 14	John Hamilton Davis	cited form	whekwt	absent
note 14	John Hamilton Davis	cited affix	-s	she
note 15	John Hamilton Davis	cited form	lhe	ART
note 15	John Hamilton Davis	cited form	pipaʔa	one or another person
note 16	John Hamilton Davis	cited form	jiaqaʔ	unexpectedly
note 16	John Hamilton Davis	cited form	jiaq’	(standing object) fall over
note 16	John Hamilton Davis	cited form	jiaq’ît	fallen
note 17	John Hamilton Davis	cited form	ʔaxîth	lying down
note 17	John Hamilton Davis	cited form	ʔaxeth	lie down
note 18	John Hamilton Davis	cited affix	-olh	past, which laryngealizes a preceding -s or -m or -n
note 18	John Hamilton Davis	cited form	k’we	reportedly
note 19	John Hamilton Davis	cited form	kwekwtem	being sick
note 19	John Hamilton Davis	cited affix	-awtwh	house; room
note 20	John Hamilton Davis	cited form	g.ut	the contraction of ga + ot
