where	who	kind	form	gloss
title	Vi Hilbert and Thom Hess	title	A Note on ?ə Constructions in Lushootseed	the paper's title
title	Vi Hilbert	name	Vi Hilbert, taqʷšəblu	Indian Studies, University of Washington
title	Thom Hess	name	Thom Hess	University of Victoria
§1	Vi Hilbert and Thom Hess	note	While preparing a Lushootseed Reader, we came across two difficult sentences in a fascinating text on how to play the Bone Game, sləhal. The sentences are:
1	Lushootseed	cited example	kʷa? ləcux̌əčadadid dxʷ?al ti?ə? s?acuss (h)əlgʷə? dəxʷx̌əbil ?ə ti?ə?.
1	Vi Hilbert and Thom Hess	translation	Instead he is sending-his-power-of-thought-over-them to their faces so that these (opponents) become heavy.
2	Lushootseed	cited example	x̌əčadadid ti?ə? stabtablax̌əd ?ə ti?ə? də(xʷ)xʷakʷils, dəxʷgʷəƛ̓əlads ?ə ti?ə? sudᶻigʷicuts.
2	Vi Hilbert and Thom Hess	translation	He directs-his-thoughts to the arms of these (opponents) so that they become tired, so that they stop their back-and-forth-movement.
§1	Vi Hilbert and Thom Hess	note	Students are troubled by the fact that the verb in dəxʷ- clause (1) does not have an -s suffix while in clause (2) it does:
1 restated	Lushootseed	cited example	... dəxʷx̌əbil ?ə ti?ə? ...	so that they become heavy.
2 restated	Lushootseed	cited example	... dəxʷgʷəƛ̓əlads ?ə ti?ə? sudᶻigʷicuts. ...	so that they stop their swaying back and forth.
§1	Vi Hilbert and Thom Hess	note	Both sentences were grammatical, but why?
footnote 1	Vi Hilbert and Thom Hess	note	The name Lushootseed is now being used instead of Puget Salish. Lushootseed is based upon the Indian name for the language, dxʷləšucid.
§2	Vi Hilbert and Thom Hess	note	The problem lies with the several uses of ?ə. Phrases beginning with this particle look the same but fit into the rest of the sentence in several different ways. Some other Salish languages have a similar ?ə word, so its use in Lushootseed and the explanation for the difference above may have general interest.
§2	Vi Hilbert and Thom Hess	note	The ?ə in Lushootseed links six different types of phrase and clause to the rest in the sentence. These six are:
§I	Vi Hilbert and Thom Hess	note	I Phrases of manner and instrument:
3	Lushootseed	cited example	?u?əɬəd ?ə tə qa.	He ate a lot.
4	Lushootseed	cited example	?uyayus ?ə tə tib.	He worked hard.
5	Lushootseed	cited example	?upusud ?ə tə čƛ̓a?.	He threw a rock at someone. (He threw at someone with a rock.)
§II	Vi Hilbert and Thom Hess	note	II Phrases expressing patient of verbs that do not have a transitive suffix:
6	Lushootseed	cited example	?ugʷəč̓əb ?ə ti x̌ʷubt.	He looked for the paddle.
7	Lushootseed	cited example	?ugʷəč̓əd ti x̌ʷubt.	He looked for the paddle.
§II	Vi Hilbert and Thom Hess	note	The -d is a transitive suffix; therefore no ?ə precedes ti x̌ʷubt.
8	Lushootseed	cited example	?utəqalikʷ ?ə tə səpləl.	She made bread.
§III	Vi Hilbert and Thom Hess	note	III Phrases expressing agent of “passive” verbs:
9	Lushootseed	cited example	?ukʷaxʷatəb ?ə tsi dsqa tsi?iɬ skʷuyčəɬ.	My older sister helped our mother.
10	Lushootseed	cited example	?ux̌əƛ̓təb ?ə tə sqʷəbay?.	A dog bit someone.
